Capitalizacion_de_mercado;Ingreso_neto;%_Crec_Ingreso_neto;Beneficio_antes_prov;%_Margen_Beneficio_antes_prov;Ingreso_operacional;%_Margen_Ingreso_operacional;Beneficio_neto;%_Margen_Beneficio_neto;BPA;%_Crec_BPA;%_capital_comun_nivel_1;%_Ratio_de_capital_nivel_1;%_Ratio_de_capital
85204.68;0.782903586853843;-0.786405941880213;0.955314733840152;0.7412794127889273;0.7278000186557902;0.6818432375639272;0.5530485309678825;0.706280930282212;0.6557300837823381;-0.5273005530839305;0.5297450459912556;-0.7119047619047619;0.48137197182561153
80905.92;0.7471487961612322;-0.7957560360512489;0.944112642323496;0.7533357479430296;0.6304298850486934;0.6632362538622394;0.40249649401959786;0.6771009292918433;0.5647056750622326;-0.5456752202590289;0.5413532302551269;-0.7619047619047619;0.4882377196527674
80735.04;0.674676338904576;-0.7838371502437096;0.9031203733669413;0.7706578892384595;0.5330597514415962;0.6527110699229168;0.40295575429084174;0.6896531715112371;0.5529246193064463;-0.5544148759040847;0.4936855799800808;-1.0;0.41086602298520347
78579.6774;0.044029745931721154;-0.9377781220285822;-0.35997306832549536;0.33594011653339995;-0.8177724768179986;0.26310162458627717;-0.8346759519549333;0.3826032361973224;-0.13901939042949096;-0.5482437541959548;-0.6041537541053147;0.5824809523809524;-0.5874042046631895
78498.18;1.0;-0.800447649873413;1.0;0.6679551983203145;1.0;0.7014549121301898;1.0;0.7644834878973381;1.0;-0.5396540447240705;1.0;-0.569047619047619;1.0
75093.07104;0.11442399609919729;-0.6838210987333231;-0.4007756393409083;0.27956140519168815;-0.7589971912671264;0.2873868006167788;-0.7364232450778833;0.41909265632553705;-0.016316960597522523;-0.5482437541959548;-0.6680274175433006;0.5992380952380953;-0.6538377087731978
73536.46;0.8137798064645174;-0.7940276256920772;0.953345135331729;0.7261413239413481;0.7826218585858364;0.6893224106396185;0.6248022177043533;0.7172680352276779;0.7027769279382192;-0.5403871387162186;0.1716202123186299;-0.6523809523809524;0.10507617745264652
70540.47;0.9340750986691002;-0.7825606490616929;0.952237236170741;0.6744285913742232;0.839898407766482;0.6760800436168739;0.7873437988525207;0.7317006862574535;0.8347458467693891;-0.5414499336206218;0.4862761006627161;-0.5261904761904762;0.45549338386171634
65831.52;0.891772752050733;-0.7858184889485755;0.94915973850133;0.6904132511801169;0.793531677477388;0.6736655030400989;0.7188540489154145;0.7243519786576713;0.7808063691186362;-0.543016656453163;0.3017800656603358;-0.5642857142857143;0.2540100918571042
65369.96678;-0.49032720576246547;-0.6470443333147317;-0.2168774157587331;1.0;-0.06981520403270536;1.0;-0.1517620051456139;0.91892586357516;-0.03799708991387418;-0.4498133136692942;-0.894356878806234;0.9190476190476191;-0.8603535939351152
63136.8;0.850497473028563;-0.787588172405986;0.9480518393403421;0.7075215073998913;0.77062105780513;0.6771928838670296;0.6576700845687091;0.7181237422181377;0.7331372904409621;-0.5443903001016986;0.04911682093820069;-0.5952380952380952;-0.019563552332644507
61730.32027;-0.5277586843058679;-0.5579368741636808;-0.27827497146236413;0.9838408527537026;-0.16585543071692244;0.9602384016203411;-0.2464501238906226;0.878891324101756;-0.050515709203809656;0.005507273588874817;-0.8912359137462512;0.9532352428571427;-0.8561775593296337
59886.96;0.9724617500769659;-0.7883323831146171;0.9764879178056998;0.6691703371643245;0.9157216490627647;0.6866788257266376;0.9045646972323487;0.7496661696197495;0.9220292090438154;-0.5371183108238087;0.9123211614111848;-0.5428571428571429;0.9091608749022455
57038.38346;-0.5770762877566096;-0.44891107779981265;-0.35375860329860964;0.9682076119256178;-0.2869159633015512;0.9037839327395361;-0.3456981006941471;0.8399280999487138;-0.06367504522905687;-0.5482437541959548;-0.8914474015264762;0.949328054761905;-0.8566872352148431
52191.27312;0.4495957590324817;-0.7324759868377164;0.025759625520235474;0.42493836483711855;-0.635500496124014;0.3177153577513423;-0.4989435973269991;0.4792595134700153;0.20355829431840733;-0.48109400072958497;-0.821261130427212;0.5597714285714286;-0.8220482664712921
47633.75435;0.38752255376249534;-0.708731210937628;-0.02100467114906246;0.4216549058617127;-0.7579896694924916;0.2776811355874811;-0.695017917074685;0.42505100652324246;0.0054378368614442785;-0.5482437541959548;-0.8694212640942189;0.5591642857142856;-0.8736071279137673
43241.69255;-0.9338646781953293;0.010844142829008918;-0.9060407955553055;0.2590766469213386;-0.9212995667165427;-0.029130185347921334;-0.8875339116845462;0.08071740040178343;-0.1276917649786944;-0.5482437541959548;-0.8889758333657498;0.9709217619047619;-0.8543856746699721
41422.92945;0.17218820346106378;-0.699404015711466;-0.1555985396904258;0.4262534363755106;-0.8257721015202287;0.25677032770449304;-0.8442691847017454;0.3796388056689637;-0.15468466817834747;-0.5832762321333709;-0.8348634525580301;0.5336166666666666;-0.8394922832295263
41378.19357;0.5124339370864608;-0.797471771994426;0.11422105936579174;0.44956882334514336;-0.42761007870888834;0.382401766858226;-0.24946453337840335;0.5435870400084373;0.4631838619225863;1.0;-0.6731525543871217;0.49369523809523796;-0.671022939651793
40532.60904;0.2447542522524233;-0.7010384604003409;-0.10679520804068898;0.42672004003298025;-0.7891014727710013;0.27009875956959606;-0.7949578668023085;0.3963447857961697;-0.09854556068936693;-0.5259568211030596;-0.7785652407741177;0.5686428571428572;-0.7754150509603531
39830.12033;0.4894335285703244;-0.7733026456473452;0.07098393977066242;0.4350070732860045;-0.5143873236632335;0.3557990990082902;-0.3877923436887045;0.5076273581587678;0.31859947700264324;-0.18568640279163995;-0.7209679002832273;0.5387357142857143;-0.7171504664285396
39700.25649;-0.6346389972944472;-0.4668528660870628;-0.4432569133215395;0.9419753994891946;-0.38813562650453215;0.8718325993848075;-0.43536077608661194;0.810286101356279;-0.07552830483232265;-0.5482437541959548;-0.8915395174082629;0.948665111904762;-0.8567489749240443
37707.74162;0.10610372150240477;-0.7591973505840784;-0.20725421607948213;0.42062576577427224;-0.8980204679112225;0.22582502296389295;-0.9799941242682858;0.32879005100570624;-0.30803898662762563;-0.5593952678721883;-0.8509118907941542;0.512345238095238;-0.8590100198987857
37419.23935;-0.7314644468997067;-0.3859836273394113;-0.6515548810774886;0.7128983386165555;-0.7325621546019525;0.4858194357523613;-0.7960693835596598;0.42860049199257344;-0.12431568064262899;-0.5482437541959548;-0.8905551893214584;0.9605296357142858;-0.8550194360078633
35999.73976;-0.9087680247153547;0.08706038097529567;-0.8812449044332339;0.3564713544169864;-0.9221158939151031;0.027271480861205344;-0.8858701099591955;0.15642584088230338;-0.1276917649786944;-0.5482437541959548;-0.8900349411285995;0.9607117928571429;-0.8555739771785182
35976.82201;0.02630172472893766;-0.8588625332616237;-0.3195244089265651;0.3745293210396692;-0.8948915318531254;0.22658408821991904;-0.9619876955405444;0.33160079765675854;-0.2935366097533598;-0.5482437541959548;-0.7301591123937743;0.5544952380952382;-0.7252296031505332
34383.96518;-0.6831838607625002;-0.38537434541359916;-0.5663795935807339;0.7989284551455631;-0.6125846942877825;0.6288681132050078;-0.6844168282755123;0.5615096869476468;-0.10933276621687948;-0.5482437541959548;-0.8920974818267083;0.9426144119047619;-0.8574424492551918
33084.4467;-0.9572781604603111;-0.5551823860836052;-0.944855427160985;-0.10616733420906088;-0.8651854587387922;0.324752290954329;-0.9379611499914137;-0.3749572950013691;-0.26285391744685227;-1.0;-0.8508244589382092;0.8319071428571427;-0.8234744935487717
